iterations,fitness,time
3020,2223.02839277,9.452413834
3030,2222.59307469,9.486162406
3040,2223.02839277,9.516497268
3050,2198.78664675,9.543284
3060,2213.42422067,9.574605481
3070,2213.42422067,9.604784779
3080,2198.78664675,9.631911712
3090,2222.59307469,9.660461748
3100,2198.78664675,9.688090864
3110,2198.78664675,9.716052629
3120,2223.02839277,9.746273839
3130,2223.02839277,9.771546471
3140,2210.68986072,9.8010061
3150,2223.02839277,9.831270354
3160,2206.62735846,9.859931021
3170,2222.59307469,9.888892242
3180,2205.73105178,9.918636567
3190,2198.78664675,9.945322485
3200,2218.53057243,9.974476273
3210,2198.78664675,10.000130262
3220,2200.05766448,10.02725644
3230,2213.42422067,10.056005084
3240,2202.88268671,10.085902707
3250,2222.59307469,10.108249086
3260,2206.62735846,10.136322615
3270,2210.68986072,10.164103518
3280,2210.68986072,10.193802911
3290,2198.78664675,10.224917477
3300,2222.59307469,10.255798321
3310,2209.84220213,10.28224221
3320,2198.78664675,10.312300682
3330,2198.78664675,10.33395118
3340,2213.42422067,10.360072992
3350,2210.68986072,10.390523016
3360,2222.59307469,10.416475294
3370,2222.59307469,10.451188963
3380,2237.23064861,10.486121629
3390,2222.59307469,10.523497999
3400,2230.4337864,10.557713261
3410,2228.50282357,10.58570259
3420,2237.23064861,10.614937936
3430,2237.23064861,10.648007239
3440,2237.23064861,10.675913877
3450,2246.83482072,10.706003689
3460,2222.59307469,10.739697134
3470,2240.22556287,10.767581872
3480,2222.59307469,10.798374739
3490,2222.59307469,10.826742403
3500,2222.59307469,10.853473254
3510,2222.59307469,10.883154523
3520,2223.09887841,10.918226894
3530,2226.967999,10.95292697
3540,2222.59307469,10.986545276
3550,2237.23064861,11.012680681
3560,2246.83482072,11.042573395
3570,2222.59307469,11.06750054
3580,2246.83482072,11.096438352
3590,2246.83482072,11.126386193
3600,2222.59307469,11.157191898
3610,2222.59307469,11.19053457
3620,2222.59307469,11.219449349
3630,2222.59307469,11.250254299
3640,2246.83482072,11.276333444
3650,2237.23064861,11.309540565
3660,2230.4337864,11.338888807
3670,2230.4337864,11.369296919
3680,2222.59307469,11.397311923
3690,2246.83482072,11.427256365
3700,2230.4337864,11.458382259
3710,2222.59307469,11.484340956
3720,2230.4337864,11.510480514
3730,2237.23064861,11.539713972
3740,2222.59307469,11.570830049
3750,2237.23064861,11.600848875
3760,2222.59307469,11.626562522
3770,2222.59307469,11.676266537
3780,2222.59307469,11.711499002
3790,2222.59307469,11.740490808
3800,2222.59307469,11.774632064
3810,2230.4337864,11.806518784
3820,2222.59307469,11.832031558
3830,2222.59307469,11.860953512
3840,2222.59307469,11.893221966
3850,2222.59307469,11.92361573
3860,2222.59307469,11.95027635
3870,2246.83482072,11.983727388
3880,2222.59307469,12.021017292
3890,2222.59307469,12.050296437
3900,2246.83482072,12.0844679
3910,2222.59307469,12.114623788
3920,2246.83482072,12.145584679
3930,2230.4337864,12.17432917
3940,2222.59307469,12.204428799
3950,2222.59307469,12.234831248
3960,2246.83482072,12.267820127
3970,2246.83482072,12.303695613
3980,2246.83482072,12.347605268
3990,2223.74017737,12.379705698
4000,2222.59307469,12.411470836
4010,2222.59307469,12.444116871
4020,2230.4337864,12.498591999
4030,2222.59307469,12.5325203
4040,2222.59307469,12.564596187
4050,2246.83482072,12.597636039
4060,2222.59307469,12.62928375
4070,2230.4337864,12.664168464
4080,2222.59307469,12.703799748
4090,2246.83482072,12.738977464
4100,2222.59307469,12.773262201
4110,2237.23064861,12.80233934
